gemini | cot | jee_chemistry => Accuracy: 76.32%, Precision: 100.00%, Recall: 100.00%, TP: 87, FP: 0, FN: 0, TN: 27
gemini | cot | jee_hindi_chemistry => Accuracy: 71.05%, Precision: 100.00%, Recall: 100.00%, TP: 81, FP: 0, FN: 0, TN: 33
gemini | cot | jee_hindi_physics => Accuracy: 77.06%, Precision: 100.00%, Recall: 100.00%, TP: 84, FP: 0, FN: 0, TN: 25
gemini | cot | jee_physics => Accuracy: 75.93%, Precision: 100.00%, Recall: 100.00%, TP: 82, FP: 0, FN: 0, TN: 26
gemini | cot | lsat_ar => Accuracy: 26.00%, Precision: 0.00%, Recall: 0.00%, TP: 0, FP: 26, FN: 0, TN: 74
gemini | cot | lsat_lr => Accuracy: 42.67%, Precision: 0.00%, Recall: 0.00%, TP: 0, FP: 64, FN: 0, TN: 86
gemini | cot | neet_biology => Accuracy: 91.40%, Precision: 100.00%, Recall: 100.00%, TP: 85, FP: 0, FN: 0, TN: 8
gemini | cot | neet_chemistry => Accuracy: 94.00%, Precision: 100.00%, Recall: 100.00%, TP: 47, FP: 0, FN: 0, TN: 3
gemini | cot | neet_hindi_biology => Accuracy: 91.40%, Precision: 100.00%, Recall: 100.00%, TP: 85, FP: 0, FN: 0, TN: 8
gemini | cot | neet_hindi_chemistry => Accuracy: 84.00%, Precision: 100.00%, Recall: 100.00%, TP: 42, FP: 0, FN: 0, TN: 8
gemini | cot | neet_hindi_physics => Accuracy: 82.93%, Precision: 100.00%, Recall: 100.00%, TP: 34, FP: 0, FN: 0, TN: 7
gemini | cot | neet_physics => Accuracy: 80.95%, Precision: 100.00%, Recall: 100.00%, TP: 34, FP: 0, FN: 0, TN: 8
gemini | cot | upsc => Accuracy: 89.00%, Precision: 100.00%, Recall: 100.00%, TP: 89, FP: 0, FN: 0, TN: 11
gemini | cot | upsc_hindi => Accuracy: 87.21%, Precision: 100.00%, Recall: 100.00%, TP: 75, FP: 0, FN: 0, TN: 11
gemini | few-shot | jee_chemistry => Accuracy: 69.30%, Precision: 100.00%, Recall: 100.00%, TP: 79, FP: 0, FN: 0, TN: 35
gemini | few-shot | jee_hindi_chemistry => Accuracy: 57.89%, Precision: 100.00%, Recall: 100.00%, TP: 66, FP: 0, FN: 0, TN: 48
gemini | few-shot | jee_hindi_physics => Accuracy: 59.63%, Precision: 100.00%, Recall: 100.00%, TP: 65, FP: 0, FN: 0, TN: 44
gemini | few-shot | jee_physics => Accuracy: 51.85%, Precision: 100.00%, Recall: 100.00%, TP: 56, FP: 0, FN: 0, TN: 52
gemini | few-shot | lsat_lr => Accuracy: 44.00%, Precision: 0.00%, Recall: 0.00%, TP: 0, FP: 66, FN: 0, TN: 84
gemini | few-shot | neet_biology => Accuracy: 84.95%, Precision: 100.00%, Recall: 100.00%, TP: 79, FP: 0, FN: 0, TN: 14
gemini | few-shot | neet_chemistry => Accuracy: 74.00%, Precision: 100.00%, Recall: 100.00%, TP: 37, FP: 0, FN: 0, TN: 13
gemini | few-shot | neet_hindi_biology => Accuracy: 84.95%, Precision: 100.00%, Recall: 100.00%, TP: 79, FP: 0, FN: 0, TN: 14
gemini | few-shot | neet_hindi_chemistry => Accuracy: 66.00%, Precision: 100.00%, Recall: 100.00%, TP: 33, FP: 0, FN: 0, TN: 17
gemini | few-shot | neet_hindi_physics => Accuracy: 70.73%, Precision: 100.00%, Recall: 100.00%, TP: 29, FP: 0, FN: 0, TN: 12
gemini | few-shot | neet_physics => Accuracy: 78.57%, Precision: 100.00%, Recall: 100.00%, TP: 33, FP: 0, FN: 0, TN: 9
gemini | few-shot | upsc => Accuracy: 72.00%, Precision: 100.00%, Recall: 100.00%, TP: 72, FP: 0, FN: 0, TN: 28
gemini | few-shot | upsc_hindi => Accuracy: 75.58%, Precision: 100.00%, Recall: 100.00%, TP: 65, FP: 0, FN: 0, TN: 21
gemini | zero-shot | jee_chemistry => Accuracy: 67.54%, Precision: 100.00%, Recall: 100.00%, TP: 77, FP: 0, FN: 0, TN: 37
gemini | zero-shot | jee_hindi_chemistry => Accuracy: 64.91%, Precision: 100.00%, Recall: 100.00%, TP: 74, FP: 0, FN: 0, TN: 40
gemini | zero-shot | jee_hindi_physics => Accuracy: 52.29%, Precision: 100.00%, Recall: 100.00%, TP: 57, FP: 0, FN: 0, TN: 52
gemini | zero-shot | jee_physics => Accuracy: 67.59%, Precision: 100.00%, Recall: 100.00%, TP: 73, FP: 0, FN: 0, TN: 35
gemini | zero-shot | neet_biology => Accuracy: 78.49%, Precision: 100.00%, Recall: 100.00%, TP: 73, FP: 0, FN: 0, TN: 20
gemini | zero-shot | neet_chemistry => Accuracy: 70.00%, Precision: 100.00%, Recall: 100.00%, TP: 35, FP: 0, FN: 0, TN: 15
gemini | zero-shot | neet_hindi_biology => Accuracy: 86.02%, Precision: 100.00%, Recall: 100.00%, TP: 80, FP: 0, FN: 0, TN: 13
gemini | zero-shot | neet_hindi_chemistry => Accuracy: 44.00%, Precision: 100.00%, Recall: 100.00%, TP: 22, FP: 0, FN: 0, TN: 28
gemini | zero-shot | neet_hindi_physics => Accuracy: 78.05%, Precision: 100.00%, Recall: 100.00%, TP: 32, FP: 0, FN: 0, TN: 9
gemini | zero-shot | neet_physics => Accuracy: 85.71%, Precision: 100.00%, Recall: 100.00%, TP: 36, FP: 0, FN: 0, TN: 6
gemini | zero-shot | upsc => Accuracy: 87.00%, Precision: 100.00%, Recall: 100.00%, TP: 87, FP: 0, FN: 0, TN: 13
gemini | zero-shot | upsc_hindi => Accuracy: 84.88%, Precision: 100.00%, Recall: 100.00%, TP: 73, FP: 0, FN: 0, TN: 13
together | cot | jee_chemistry => Accuracy: 67.54%, Precision: 100.00%, Recall: 100.00%, TP: 77, FP: 0, FN: 0, TN: 37
together | cot | jee_hindi_chemistry => Accuracy: 60.53%, Precision: 100.00%, Recall: 100.00%, TP: 69, FP: 0, FN: 0, TN: 45
together | cot | jee_hindi_physics => Accuracy: 64.22%, Precision: 100.00%, Recall: 100.00%, TP: 70, FP: 0, FN: 0, TN: 39
together | cot | jee_physics => Accuracy: 68.52%, Precision: 100.00%, Recall: 100.00%, TP: 74, FP: 0, FN: 0, TN: 34
together | cot | lsat_ar => Accuracy: 17.00%, Precision: 0.00%, Recall: 0.00%, TP: 0, FP: 17, FN: 0, TN: 83
together | cot | lsat_lr => Accuracy: 40.00%, Precision: 0.00%, Recall: 0.00%, TP: 0, FP: 60, FN: 0, TN: 90
together | cot | neet_biology => Accuracy: 82.80%, Precision: 100.00%, Recall: 100.00%, TP: 77, FP: 0, FN: 0, TN: 16
together | cot | neet_chemistry => Accuracy: 70.00%, Precision: 100.00%, Recall: 100.00%, TP: 35, FP: 0, FN: 0, TN: 15
together | cot | neet_hindi_biology => Accuracy: 68.82%, Precision: 100.00%, Recall: 100.00%, TP: 64, FP: 0, FN: 0, TN: 29
together | cot | neet_hindi_chemistry => Accuracy: 70.00%, Precision: 100.00%, Recall: 100.00%, TP: 35, FP: 0, FN: 0, TN: 15
together | cot | neet_hindi_physics => Accuracy: 78.05%, Precision: 100.00%, Recall: 100.00%, TP: 32, FP: 0, FN: 0, TN: 9
together | cot | neet_physics => Accuracy: 64.29%, Precision: 100.00%, Recall: 100.00%, TP: 27, FP: 0, FN: 0, TN: 15
together | cot | upsc => Accuracy: 80.00%, Precision: 100.00%, Recall: 100.00%, TP: 80, FP: 0, FN: 0, TN: 20
together | cot | upsc_hindi => Accuracy: 68.60%, Precision: 100.00%, Recall: 100.00%, TP: 59, FP: 0, FN: 0, TN: 27
together | few-shot | jee_chemistry => Accuracy: 55.26%, Precision: 100.00%, Recall: 100.00%, TP: 63, FP: 0, FN: 0, TN: 51
together | few-shot | jee_hindi_chemistry => Accuracy: 42.98%, Precision: 100.00%, Recall: 100.00%, TP: 49, FP: 0, FN: 0, TN: 65
together | few-shot | jee_hindi_physics => Accuracy: 43.12%, Precision: 100.00%, Recall: 100.00%, TP: 47, FP: 0, FN: 0, TN: 62
together | few-shot | jee_physics => Accuracy: 48.15%, Precision: 100.00%, Recall: 100.00%, TP: 52, FP: 0, FN: 0, TN: 56
together | few-shot | lsat_lr => Accuracy: 34.00%, Precision: 0.00%, Recall: 0.00%, TP: 0, FP: 51, FN: 0, TN: 99
together | few-shot | neet_biology => Accuracy: 79.57%, Precision: 100.00%, Recall: 100.00%, TP: 74, FP: 0, FN: 0, TN: 19
together | few-shot | neet_chemistry => Accuracy: 66.00%, Precision: 100.00%, Recall: 100.00%, TP: 33, FP: 0, FN: 0, TN: 17
