Model,Prompt Type,Dataset,Accuracy,Precision,Recall,TP,FP,FN,TN
gemini,cot,jee_chemistry,76.32,100.00,100.00,87,0,0,27
gemini,cot,jee_hindi_chemistry,71.05,100.00,100.00,81,0,0,33
gemini,cot,jee_hindi_physics,77.06,100.00,100.00,84,0,0,25
gemini,cot,jee_physics,75.93,100.00,100.00,82,0,0,26
gemini,cot,lsat_ar,26.00,0.00,0.00,0,26,0,74
gemini,cot,lsat_lr,42.67,0.00,0.00,0,64,0,86
gemini,cot,neet_biology,91.40,100.00,100.00,85,0,0,8
gemini,cot,neet_chemistry,94.00,100.00,100.00,47,0,0,3
gemini,cot,neet_hindi_biology,91.40,100.00,100.00,85,0,0,8
gemini,cot,neet_hindi_chemistry,84.00,100.00,100.00,42,0,0,8
gemini,cot,neet_hindi_physics,82.93,100.00,100.00,34,0,0,7
gemini,cot,neet_physics,80.95,100.00,100.00,34,0,0,8
gemini,cot,upsc,89.00,100.00,100.00,89,0,0,11
gemini,cot,upsc_hindi,87.21,100.00,100.00,75,0,0,11
gemini,few-shot,jee_chemistry,69.30,100.00,100.00,79,0,0,35
gemini,few-shot,jee_hindi_chemistry,57.89,100.00,100.00,66,0,0,48
gemini,few-shot,jee_hindi_physics,59.63,100.00,100.00,65,0,0,44
gemini,few-shot,jee_physics,51.85,100.00,100.00,56,0,0,52
gemini,few-shot,lsat_lr,44.00,0.00,0.00,0,66,0,84
gemini,few-shot,neet_biology,84.95,100.00,100.00,79,0,0,14
gemini,few-shot,neet_chemistry,74.00,100.00,100.00,37,0,0,13
gemini,few-shot,neet_hindi_biology,84.95,100.00,100.00,79,0,0,14
gemini,few-shot,neet_hindi_chemistry,66.00,100.00,100.00,33,0,0,17
gemini,few-shot,neet_hindi_physics,70.73,100.00,100.00,29,0,0,12
gemini,few-shot,neet_physics,78.57,100.00,100.00,33,0,0,9
gemini,few-shot,upsc,72.00,100.00,100.00,72,0,0,28
gemini,few-shot,upsc_hindi,75.58,100.00,100.00,65,0,0,21
gemini,zero-shot,jee_chemistry,67.54,100.00,100.00,77,0,0,37
gemini,zero-shot,jee_hindi_chemistry,64.91,100.00,100.00,74,0,0,40
gemini,zero-shot,jee_hindi_physics,52.29,100.00,100.00,57,0,0,52
gemini,zero-shot,jee_physics,67.59,100.00,100.00,73,0,0,35
gemini,zero-shot,neet_biology,78.49,100.00,100.00,73,0,0,20
gemini,zero-shot,neet_chemistry,70.00,100.00,100.00,35,0,0,15
gemini,zero-shot,neet_hindi_biology,86.02,100.00,100.00,80,0,0,13
gemini,zero-shot,neet_hindi_chemistry,44.00,100.00,100.00,22,0,0,28
gemini,zero-shot,neet_hindi_physics,78.05,100.00,100.00,32,0,0,9
gemini,zero-shot,neet_physics,85.71,100.00,100.00,36,0,0,6
gemini,zero-shot,upsc,87.00,100.00,100.00,87,0,0,13
gemini,zero-shot,upsc_hindi,84.88,100.00,100.00,73,0,0,13
together,cot,jee_chemistry,67.54,100.00,100.00,77,0,0,37
together,cot,jee_hindi_chemistry,60.53,100.00,100.00,69,0,0,45
together,cot,jee_hindi_physics,64.22,100.00,100.00,70,0,0,39
together,cot,jee_physics,68.52,100.00,100.00,74,0,0,34
together,cot,lsat_ar,17.00,0.00,0.00,0,17,0,83
together,cot,lsat_lr,40.00,0.00,0.00,0,60,0,90
together,cot,neet_biology,82.80,100.00,100.00,77,0,0,16
together,cot,neet_chemistry,70.00,100.00,100.00,35,0,0,15
together,cot,neet_hindi_biology,68.82,100.00,100.00,64,0,0,29
together,cot,neet_hindi_chemistry,70.00,100.00,100.00,35,0,0,15
together,cot,neet_hindi_physics,78.05,100.00,100.00,32,0,0,9
together,cot,neet_physics,64.29,100.00,100.00,27,0,0,15
